,Mobile Name,Prices
0,"Redmi Note 8 (Moonlight White, 64 GB)","11,499"
1,"Redmi Note 8 (Neptune Blue, 64 GB)","11,499"
2,"Redmi 8A Dual (Sea Blue, 32 GB)","6,999"
3,"Redmi Note 8 (Cosmic Purple, 64 GB)","11,499"
4,"Redmi 8A Dual (Midnight Grey, 32 GB)","6,999"
5,"Mi 10T Pro (Cosmic Black, 128 GB)","39,999"
6,"Redmi 8A Dual (Sky White, 32 GB)","6,999"
7,"Redmi 9 (Carbon Black, 64 GB)","9,708"
8,"Redmi 9A (Nature Green, 32 GB)","7,486"
9,"Redmi 9A (Midnight Black, 32 GB)","8,597"
10,"Redmi 9 Prime (SunriseFlare, 128 GB)","12,389"
11,"Redmi 9 Prime (MatteBlack, 64 GB)","11,099"
12,"Redmi Note 9 Pro (Interstellar Black, 128 GB)","15,475"
13,"Redmi 9 Prime (MintGreen, 128 GB)","11,748"
14,"Redmi 9 Prime (Space Blue, 64 GB)","11,159"
15,"Redmi Note 9 (Arctic White, 64 GB)","14,999"
16,"Redmi Note 9 (Scarlet Red, 64 GB)","12,623"
17,"Redmi Note 9 Pro (Champagne Gold, 128 GB)","15,199"
18,"Mi 10T (Lunar Silver, 128 GB)","35,999"
19,"Redmi Note 9 (Pebble Grey, 128 GB)","15,800"
20,"Redmi Note 9 (Aqua Green, 128 GB)","13,837"
21,"Redmi Note 9 Pro (Glacier White, 64 GB)","14,698"
22,"Redmi Note 9 Pro (Glacier White, 128 GB)","15,298"
23,"Redmi Note 9 Pro (Interstellar Black, 64 GB)","14,737"
